TOPIC,WORD,MEANING,SENTENCE
190. Intelligent,ACUMEN,insight., His business ACUMEN helped him to succeed where others had failed.
190. Intelligent,ASTUTE,"clever, showing good judgment.", That was a very ASTUTE observation.
190. Intelligent,DISCERNING,showing good judgment., The DISCERNING customer will recognize this as a high quality product.
190. Intelligent,DISCRIMINATING,having excellent taste or judgment., A DISCRIMINATING interior designer.
190. Intelligent,INSIGHTFUL,having good judgement.," She offered some really interesting, INSIGHTFUL observation."
190. Intelligent,JUDICIOUS,showing good judgement., JUDICIOUS use of one's money.
190. Intelligent,PERCEPTIVE,showing good judgement., It was very PERCEPTIVE of you to notice that.
190. Intelligent,PERSPICACIOUS,showing good judgement., The brilliant lawyer was known for his PERSPICACIOUS deductions.
190. Intelligent,PRUDENT,wise.," If such drugs pose health risks, it's PRUDENT to restrict their use. SAGACIOUS wiseExample: He is a SAGACIOUS leader."
190. Intelligent,SAGE,wise., He is a SAGACIOUS leader.
190. Intelligent,SAVANT,a learned scholar., He was famous for his SAGE advice to younger workers.
191. Persuade,COAX,persuade using flattery.," He COAXed her to sing, but she refused."
191. Persuade,COGENT,logical and convincing., She put forward some COGENT reasons for abandoning the plan.
191. Persuade,ENJOIN,urge strongly., The doctor ENJOINed a strict diet to the patient.
191. Persuade,EXHORT,to urge or persuade., The media have been EXHORTing people to come to the demonstration.
191. Persuade,INDUCE,to persuade., She INDUCEd a person to buy a raffle ticket.
191. Persuade,URGE,to persuade., Police are urging anyone who saw the accident to contact them immediately.
192. Cannot be defended,INDEFENSIBLE,can not be defended., The assemblyman was accused of defending the INDEFENSIBLE.
192. Cannot be defended,UNTENABLE,can not be defended., I find your theory UNTENABLE and therefore i am rejecting it.
193. Careful / precise,CONSCIENTIOUS,showing great care and effort., He is CONSCIENTIOUS with regard to his duties as eaminer.
193. Careful / precise,FASTIDIOUS,reuiring or characteried by ecessie care., Een at the less etreme cams security rocedures remain FASTIDIOUS.
193. Careful / precise,METICULOUS,showing great care about minute details., The lab technicians must be METICULOUS in their measurements to obtain eact results.
193. Careful / precise,PUNCTILIOUS,showing great attention to actions or details., He was PUNCTILIOUS about being ready eactly on time.
193. Careful / precise,PURISTS,someone who insists on great recision and correctness., PURISTS may not aroe of the changes made to the tet of the lay.
193. Careful / precise,SCRUPULOUS,showing great care towards accuracy and detail., He was SCRUPULOUS about the choices he made.
194. Concerned only with pleasure,HEDONISM,the ursuit of leasure., The hedonistic hilosohy of eat drin and be merry because tomorrow we die
194. Concerned only with pleasure,SYBARITE,someone who follows leasure and luury., ared who used to be the eitome of Chicagos wealthy SYBARITEs went banrut inDecember 1997
195. Deceptive reasoning,PETTIFOGGING,engaging in deception., Nobody liked her because she was always PETTIFOGGING.
195. Deceptive reasoning,SOPHISTRY,"the use of clever, but deceptive reasoning.", The judge rejected the local authority's argument as mere SOPHISTRY.
196. Exaggerated behavior,HISTRIONIC,overly dramatic behaviour., She was used to her mother's HISTRIONICs.
196. Exaggerated behavior,MELODRAMATIC,overly dramatic behaviour., It is a MELODRAMATIC plot full of deceit and murder.
197. Exclude / forbid,OSTRACIZE,exclude from a group or society., His friends OSTRACIZEd him after his father's arrest.
197. Exclude / forbid,OUTLAW,ban or forbid., There are plans to OUTLAW the carrying of knives.
197. Exclude / forbid,PARIAH,a person who has been rejected from society.," Because of his religious beliefs, he became a PARIAH in the village."
197. Exclude / forbid,PROSCRIBE,ban or forbid., The new law PROSCRIBEd drinking alcohol on the street.
197. Exclude / forbid,SHUN,ignore or reject., She has been SHUNned by her neighbors.
197. Exclude / forbid,TABOO,proscribed by society as improper or unacceptable., TABOO against first cousin marriage has always been in place customarily.Fine / delicate
198. Fine / delicate,NUANCES,a very fine difference., He watched her face intently to catch every nuance of expression.
198. Fine / delicate,SUBTLE,very delicate or fine., The fragrance is a SUBTLE blend of jasmine and sandalwood.
199. Frank,CANDID/CANDOR,frank or direct.," To be candid, I can't stand her."
199. Frank,FORTHRIGHT,frank or direct., He was known for his FORTHRIGHT manner.
200. Frequent traveler,ITINERANT,constantly moving from place to place.," The same day, an ITINERANT preacher came to the village."
200. Frequent traveler,PERIPATETIC,constantly moving from place to place., Her father was in the army and the family led a PERIPATETIC existence.
201. Fully satiated,GRATIFY,satisfy an appetite or desire fully., He only gave his consent in order to GRATIFY her wishes.
201. Fully satiated,QUENCH,"satisfy an appetite, thirst or desire fully.", You can QUENCH your thirst for craft beers at specialty pubs.
201. Fully satiated,REPLETE,full of or filled with., Literature is REPLETE with drama and excitement.
201. Fully satiated,SATE,satisfy an appetite or desire fully., I have SATEd my curiosity and will happily skip the next.
201. Fully satiated,SATIATE,satisfy an appetite or desire fully.," Protein and fat keep you SATIATEd, so you don't want another snack 30 minutes later."
201. Fully satiated,SATURATE,to soak or fill completely., The company had SATURATEd the market for personal computers.
201. Fully satiated,SLAKE,satisfy an appetite or desire fully.," His thirst was SLAKEd, so he turned away from the lake."
201. Fully satiated,SUFFICE,be enough., A brief note or a phone call will SUFFICE.
202. Fussy,FINICKY,very fussy., Even the most FINICKY eater will find something to eat.
202. Fussy,NITPICKING,find faults with minor details., Some readers will surely perceive our critique as NITPICKING Khans errors.
202. Fussy,PERSNICKETY,very fussy., The search function proves to be either useless or extremely PERSNICKETY.
202. Fussy,SQUEAMISH,easily disgusted., This movie is not for the SQUEAMISH.
202. Fussy,STICKLER,someone who insists that things are done in a certain way., It might seem that you're being a STICKLER for rules.]
203. Hint / indirect reference,ALLUDE/ALLUSION,refer to something indirectly., Try not to allude to this matter in his presence because the topic annoys him.
203. Hint / indirect reference,CUE,a hint., Temperature is often a CUE to enter or emerge from hibernation.
203. Hint / indirect reference,HINT,indirect reference., He resented any HINT that he might be to blame.
203. Hint / indirect reference,IMPLICIT,understood without being stated clearly., IMPLICIT in his speech was the assumption that they were guilty.
203. Hint / indirect reference,INNUENDO,refer to something indirectly., Because the movie is full of sexual INNUENDOs we did not bring the children.
203. Hint / indirect reference,INSINUATE,refer to something indirectly., The article INSINUATEd that he was having an affair with his friend's wife.
203. Hint / indirect reference,TACIT,understood without being stated clearly., She gave a TACIT approval by smiling and wining.
203. Hint / indirect reference,X BLATANT,obvious and offensive., Websites clamoring for traffic are resorting to blatant bribery.
203. Hint / indirect reference,X EXPLICIT,clear and direct., The plot of 9/11 attac was an explicit act of violence.
204. Huge,BEHEMOTH,a huge person or thing., Its tough for BING to compete with the BEHEMOTH search engines like Google.
204. Huge,COLOSSAL,huge., The singer earns a COLOSSAL amount of money.
204. Huge,GARGANTUAN,huge., A GARGANTUAN corruption scandal.
204. Huge,GIGANTIC,huge., The problem was beginning to take on GIGANTIC proportions.
204. Huge,HUMONGOUS,huge.," You may look a little silly making phone calls, holding the HUMONGOUS Galaxy Note upto your ear."
204. Huge,LEVIATHAN,anything of immense size and power., The LEVIATHAN of government bureaucracy.
204. Huge,MAMMOTH,huge., This is a MAMMOTH organization.
204. Huge,MONOLITHIC,huge, The suburbs are also becoming ever less MONOLITHIC.
204. Huge,MONUMENTAL,huge., Gibbon's MONUMENTAL work The Rise and Fall of the Roman Empire.
204. Huge,PRODIGIOUS,huge., He impressed everyone with his PRODIGIOUS memory.
204. Huge,TITANIC,huge., This is a TITANIC struggle between good and evil.
205. Loss energy,DISCOURSE,"a long debate, discussion or lecture.", A DISCOURSE on issues of gender and sexuality.
205. Loss energy,DISSERTATION,a long essay on a subject., He is currently writing a DISSERTATION.
205. Loss energy,RHETORIC,exaggerated or pompous speech intended to impress., His offers of compromise were mere RHETORIC.
205. Loss energy,THESIS,a long essay on a subject., Students must submit a THESIS on an agreed subject within four years.
206. Mistake / act done carelessly,BOTCH,do something badly or carelessly., The work they did on the house was a BOTCHed job.
206. Mistake / act done carelessly,BUNGLE,do something awkwardly or carelessly., He was caught during his BUNGLEd attempt to burgle the bank.
206. Mistake / act done carelessly,FAUX PAS,a mistake in a social situation., His outbursts and FAUX PAS often triggered national debates.
206. Mistake / act done carelessly,GAFFE,a mistake in a social situation., He made some real GAFFEs early in his career.
206. Mistake / act done carelessly,MALAPROPISM,the act of using words wrongly., One of the things George W. Bush is known for is his MALAPROPISMs.
206. Mistake / act done carelessly,MISNOMER,a wrong name., Villa was a MISNOMER - the place was no more than an old farmhouse.
206. Mistake / act done carelessly,TACTLESS,lacking tact., It was TACTLESS of you to comment on his hair!
206. Mistake / act done carelessly,X FINESSE,skill in handling a difficult or highly sensitive situation.," She lacks the quickness of her opponents, but has more finesse."
207. Pertaining to religion,AGNOSTIC,one who doesn't know whether God exists., She grew up in an AGNOSTIC household.
207. Pertaining to religion,ATHEIST,one who does not believe in God.," Nearly two in ten Americans say they are ATHEIST, agnostic or nothing in particular."
207. Pertaining to religion,PROSELYTIZE,try to convert someone's beliefs or religion., Christian groups were arrested for trying to PROSELYTIZE people.
207. Pertaining to religion,THEIST,one who believes in God., No THEIST will do any action that disrespects God.
207. Pertaining to religion,THEOLOGY,study of Gods or relilgions., He has got a degree in THEOLOGY.
208. Place side by side,ABUT,to be adjacent to., His land ABUTs a village.
208. Place side by side,ADJACENT,lying close or near., The planes landed on ADJACENT runways.
208. Place side by side,CONTIGUOUS,adjacent., Most units have private outdoor space CONTIGUOUS to the apartment.
208. Place side by side,JUXTAPOSITION,an instance of placing things side by side., The JUXTAPOSITION of black-and-white sketches with color prints.
209. Blame worthy / guilty,CULPABLE,deserving blame., The accident was the result of a CULPABLE failure to consider the risks involved.
209. Blame worthy / guilty,REPREHENSIBLE,deserving blame or criticism., His conduct was thoroughly REPREHENSIBLE.
210. Careless / dirty,DISHEVELED,untidy or disorganized.," He looked very tired, DISHEVELED and very pale."
210. Careless / dirty,GAUCHERIE,awkwardness or tactlessness., She never took her brother to parties because of his GAUCHERIE.
210. Careless / dirty,RUMPLED,disorderly or wrinkled., She sat on the armchair and ran her fingers through her RUMPLED hair.
210. Careless / dirty,SHABBY,having a slovenly or unkempt appearance., The outside of the house was beginning to look SHABBY.
210. Careless / dirty,SHODDY,of poor quality., It's clear now that SHODDY construction played as big a role in this disaster.
210. Careless / dirty,SLOPPY,careless., There is a difference between a high-functioning workaholic and a SLOPPY workaholic.
210. Careless / dirty,SLOVENLY,untidy or careless., When this is performed in a SLOVENLY manner the impression is bad.
210. Careless / dirty,UNKEMPT,untidy or disorganized.," His hair is long and UNKEMPT, his face and body emaciated."
211. Confirm / support,AFFIRM,confirm., Both sides AFFIRMed their commitment to the cease-fire.
211. Confirm / support,CLINCH,settleconclusively., They CLINCHed the deal.
211. Confirm / support,CONFIRM,make sure, Rumors of job losses were later CONFIRMed.
211. Confirm / support,CORROBORATE,confirm., We need to CORROBORATE the findings.
211. Confirm / support,ENDORSE,support something., The world leaders ENDORSEd a ban on land mines.
211. Confirm / support,RATIFY,give a formal agreement., They have yet to RATIFY the treaty.
211. Confirm / support,SUBSTANTIATE,confirm something by providing evidence., The results of the tests SUBSTANTIATEd his claims.
211. Confirm / support,TESTIFY,confirm something as a fact., Frequent name changes TESTIFY the political turbulence that the country has suffered.
211. Confirm / support,VALIDATE,make something valid., There are many variables to be considered before one can VALIDATE this hypothesis.
212. Deadlock,IMPASSE,a situation where no progress is possible., The peace talks reached an IMPASSE.
212. Deadlock,STALEMATE,a situation where no progress is possible., Talks between union and management resulted in a STALEMATE.
213. Disrespected sacred things,BLASPHEMY,disrespectful attitude towards sacred things., Protests over BLASPHEMY in the arts are not new.
213. Disrespected sacred things,DESECRATE,treat sacred things with disrespect., Please do not DESECRATE the monument or surrounding area.
213. Disrespected sacred things,IMPIOUS,disrecpectful towards God or religion., The IMPIOUS man began to pray in an inappropriate fashion.
213. Disrespected sacred things,PROFANE,showing a disrespectful attitude towards sacred things., Tourists are urged not to be PROFANE in holy places by wearing improper clothes.
213. Disrespected sacred things,SACRILEGE,treat sacred things with disrespect.," Some were rumored to have hired a taxi for the climb, SACRILEGE for a true pilgrim."
213. Disrespected sacred things,X CONSECRATE,make something sacred., Let the presence of your own heroic dead consecrate this monument.
213. Disrespected sacred things,X SACROSANCT,extremely sacred., A sacrosanct chamber in the temple.
214. Firm / unchanging,IMMUTABLE,unchanging., This decision should not be seen as IMMUTABLE.
214. Firm / unchanging,INVARIABLE,unchanging., Her routine was INVARIABLE.
214. Firm / unchanging,STEADFAST,firm and determined., He was STEADFAST in his beliefs and tactful in his negotiations.
215. Free from blame,ABSOLVE,free someone from blame., The court ABSOLVEd her of guilt in his death.
215. Free from blame,ACQUIT,free someone from blame., The jury ACQUITted him of murder.
215. Free from blame,EXCULPATE,free someone from blame., The defendant was able to EXCULPATE himself from the harm caused.
215. Free from blame,EXONERATE,free someone from blame., The police report EXONERATEd Lewis from all charges of corruption.
215. Free from blame,VINDICATE,free someone from blame.," There was not enough evidence against him, so the court VINDICATEd him."
216. Harmless / kind,BENIGN,kind., A BENIGN king.
216. Harmless / kind,INNOCUOUS,harmless., An INNOCUOUS home remedy.
217. Healing,CURATIVE,curing., The CURATIVE properties of herbs are well known.
217. Healing,THERAPEUTIC,curing or healing., This plant serves as a theraputic substance during illness.
218. Healthy looking,CURATIVE,curing., The CURATIVE properties of herbs are well known.
218. Healthy looking,THERAPEUTIC,curing or healing., This plant serves as a theraputic substance during illness.
219. Helpful,OFFICIOUS (-),intrusively offering help., The officious man didn't realize that his help was not needed.
219. Helpful,SOLICITOUS,showing interest or concern., The son was SOLICITOUS about his father's health.
220. Left over,MODICUM,a small amount., He does not have a MODICUM of sense.
220. Left over,REMNANT,a small remaining part., The shop is selling REMNANTs of cloth at half price.
220. Left over,TRACE,a small amount., The element has a TRACE of copper in its composition.
220. Left over,VESTIGE,a small amount., Not a VESTIGE remains of the former elegance of the house.
221. Mutual agreement,CONSENSUS,a general agreement., Each report represents a CONSENSUS among hundreds of leading scientists.
221. Mutual agreement,UNANIMOUS,in complete agreement., The jury returned a UNANIMOUS verdict of not guilty.
221. Mutual agreement,X VETO,the right to reject., The governor used his veto to block the proposal.
222. Not thoroughly,CURSORY,not done thoroughly., CURSORY reading of the new testament
222. Not thoroughly,PERFUNCTORY,not done thoroughly.,Many institutions provide only PERFUNCTORY advising and/or counseling
222. Not thoroughly,SUMMARILY,"done quickly , in a summarily manner.",The suspected spy as SUMMARILY executed.
223. Physically strong,ROBUST,strong and healthy., The candidate for the football team had a ROBUST physique.
223. Physically strong,RUGGED,"rough, harsh.", The traditional view of society as a collection of RUGGED individualists is wrong.
223. Physically strong,STURDY,"strong, well- built.", The vehicle is STURDY enough to withstand rough terrain.
224. Punish,CONDEMN,sentence to punishment., To CONDEMN a murderer to life imprisonment.
224. Punish,CONVICT,show to be guilty., He was CONVICTed of fraud.
224. Punish,IMMURE,imprison.," At the age of 86, he was IMMUREd for treason."
224. Punish,INCARCERATE,imprison., Thousands were INCARCERATEd in labor camps.
224. Punish,SENTENCE,condemn to punishment., The person was SENTENCEd to 10 years of rigorous punishment
224. Punish,X AMNESTY,freedom from punishment., The president granted a general amnesty for all political prisoners.
224. Punish,X CONDONE,to forgive (an offense)., The college cannot condone any behavior that involves illicit drugs.
224. Punish,X REPRIEVE,to delay the sentence of (a condemned person)., He is a a reprieved murderer.
225. Active / speed up,CATALYST,a person or thing that precipitates a change., His imprisonment served as the CATALYST that helped transform social unrest intorevolution.
225. Active / speed up,ENGENDER,"cause, or give rise to.", Hatred ENGENDERs violence.
225. Active / speed up,EXPEDIENT,tending to promote a proposed object.," A pragmatic politician, he was guided by what was EXPEDIENT rather than by what wasethical."
225. Active / speed up,FACILITATE,make something easier., The new trade agreement should FACILITATE more rapid economic growth.
225. Active / speed up,KINDLE,to excite or stir up., The soft music and dim lights in our favorite restaurant always KINDLE romance.
225. Active / speed up,PRECIPITATE,cause something to happen suddenly., Failure would probably PRECIPITATE an early presidential election.
225. Active / speed up,PROD,to rouse or incite., I PRODded him to avenge his humiliation.
225. Active / speed up,PROMPT,urge (someone to do something)., A noise PROMPTed the guard to go back and investigate.
225. Active / speed up,PROPEL,to impel or urge., Urgent need of money PROPELled him to take a job.
225. Active / speed up,SPUR,encourage or urge., Economists are talking of lowering interest rates to SPUR spending.
226. Counter attack,REPRISAL,an act of retaliation., They did not want to give evidence because of the fear of REPRISAL.
226. Counter attack,RETALIATE,make a counterattack.," The boy hit his sister, who RETALIATEd by kicking him."
227. Embarrass,ABASH,embarrass someone., I was ABASHed by the magnitude of the others generosity so I donated twentythousand more.
227. Embarrass,DISCOMFIT,"to make uneasy, confused, or embarrassed.", He was not DISCOMFITed by the unusual request.
227. Embarrass,MORTIFY,embarrass or humiliate someone., She was mortified to realize he had heard every word she said.
228. Exclude,BANISH,remove someone from a place or society.," He was BANISHed to Australia, where he died five years later."
228. Exclude,DEPORT,expel someone from a country., He was DEPORTed as soon as he landed abroad because his documents were fake.
228. Exclude,EXCOMMUNICATE,"expel from membership or participation in any group, association, etc.,", They were EXCOMMUNICATEd from the governing body because of their illegalactivities.
228. Exclude,EXPEL,remove someone from a place., She was EXPELled from school at 15
228. Exclude,EXTRADITE,hand someone over to the authorities of another country., The government attempted to EXTRADITE the suspect from Canada to the U.S.
229. Fashion,FADDISH,in fashion., Technology is not simply a collection of FADDISH products that are fun to use.
229. Fashion,VOGUE,fashion., Sixties music has come back into VOGUE.
230. Exaggerated,HYPERBOLE,obvious and intentional exaggeration., The film is being promoted with all the usual HYPERBOLE.
230. Exaggerated,X UNDERPLAY,to de- emphasize; downplay., The coach is underplaying the team's poor performance.
230. Exaggerated,X UNDERSTATE,to de- emphasize; downplay., It would be a mistake to understate the seriousness of the problem.
231. Give out,EMANATE,to flow or come out of., Greenhouse gases EMANATE from sources all over the world.
231. Give out,EMIT,to give or let out., The metal container began to EMIT a clicking sound.
231. Give out,RADIATE,"to emit heat, light, radiation, etc.,", It must RADIATE energy back into space as quickly as it receives it.
232. Spread,DIFFUSE,spread, The active ingredient DIFFUSEs slowly through the coating.
232. Spread,DISSEMINATE,"spread information, opinion,etc.,", Their findings have been widely DISSEMINATEd.
232. Spread,PROMULGATE,to make widespread, Their answer was to PROMULGATE an alternative vision around which peace lovingnations could rally.
232. Spread,PROPAGATE,"to spread a belief, practice, etc.,", Television advertising PROPAGATEs a false image of the ideal family.
233. To burn,COMBUST,to burn., It doesn't COMBUST even when you try to light it on fire.
233. To burn,INCINERATE,to burn or reduce to ashes.," Holland, unlike some other countries, INCINERATEs much of its waste."
233. To burn,KINDLE,to begin to burn., We watched as the fire slowly KINDLEd.
234. Harsh / biting / sharp,ACERBIC,harshly bitter., The letter was written in her usual ACERBIC style.
234. Harsh / biting / sharp,ACRIMONIOUS,"caustic, stinging, or bitter in nature.", His parents went through an ACRIMONIOUS divorce.
234. Harsh / biting / sharp,ASPERITY,harshness of tone or manner,he pointed this out with some asperity
234. Harsh / biting / sharp,CAUSTIC,severely critical or sarcastic., The critic's CAUSTIC remarks angered the hapless actors who were the subjects of hissarcasm.
234. Harsh / biting / sharp,INCISIVE,biting or sarcastic.," Both sides had their chances, but the visitors looked more INCISIVE in the verbalattack."
234. Harsh / biting / sharp,MORDACIOUS,biting sarcasm or invective,His words can be mordacious to the extreme!
234. Harsh / biting / sharp,TRENCHANT,biting or caustic., He was shattered by the TRENCHANT criticism.
235. Hesitate on moral ground,COMPUNCTION,any uneasiness or hesitation about the rightness of an action., She felt no COMPUNCTION about quitting her job.
235. Hesitate on moral ground,MISGIVINGS,"worry, fear or doubt.", I had serious MISGIVINGS about going on the trip.
235. Hesitate on moral ground,QUALMS,apprehensiveness or uneasiness; misgiving.," He had been working very hard, so he had no QUALMS about taking a few days off."
235. Hesitate on moral ground,SCRUPLES,a doubt or hesitation as to what is morally right., He had no SCRUPLES about spying on her.
236. Miscellaneous,ACCOST,to approach someone aggressively or confront them., She was ACCOSTed in the street by a complete stranger.
236. Miscellaneous,ANECDOTE,"a short, amusing story.", The book is a rich store of ANECDOTEs.
236. Miscellaneous,BASK,to enjoy a pleasant situation., He deserved to BASK in the glory of discovery.
236. Miscellaneous,BROACH,bring up a sensitive issue for discussion., She was dreading to BROACH the subject of money with her father.
236. Miscellaneous,CONJURE,"bring something up out of nowhere, as if by magic.", He could CONJURE coins from behind people's ears.
236. Miscellaneous,CORPOREAL,related to the body., CORPOREAL lashes in public disturbed the peace in the region.
236. Miscellaneous,EUPHEMISM,a less direct or less harsh word., User fees is just a politician's EUPHEMISM for taxes.
236. Miscellaneous,INEFFABLE,incapable of being described in words., The gift of being able to witness that transformation is INEFFABLE.
236. Miscellaneous,INEVITABLE,unavoidable., It seems INEVITABLE that interest rates will rise.
236. Miscellaneous,JADED,bored or tired of something.Example: It was a meal to tempt even those with the most, Nurses are the LINCHPIN of our health center.
237. Place of safety,ASYLUM,a safe place of refuge., The number of people who sought ASYLUM in industrialized countries fell last year.
237. Place of safety,HARBOR,a place of shelter or refuge., The old inn was a HARBOR for tired travelers.
237. Place of safety,HAVEN,any place of shelter and safety., They are welcome to the harbor they seek.
237. Place of safety,X PERSECUTE,harass someone.," Throughout history, people have been persecuted for their religious beliefs."
238. Revenge,RETRIBUTION,punishment or revenge., People are seeking RETRIBUTION for the latest terrorist outrages.
238. Revenge,VENGEANCE,revenge., He swore VENGEANCE on his child's killer.
238. Revenge,VINDICTIVE,wanting revenge., He accused her of being VINDICTIVE.
239. Rule / law / principle,AXIOMS,a general truth., The old axiom that you can only succeed through hard work.
239. Rule / law / principle,CANONS,a fundamental principle or general rule., The CANONS of good behavior.
239. Rule / law / principle,DICTUM,a saying., Remember the 'last hired first fired' DICTUM.
239. Rule / law / principle,DOCTRINE,a belief or principle., He was deeply committed to political DOCTRINEs of social equality.
239. Rule / law / principle,DOGMAS,a belief or principle., He can accept nothing as fact that tells against his dogma.
239. Rule / law / principle,MANDATE,a command or order., The president had a clear MANDATE to end the war.
239. Rule / law / principle,TENETS,a belief or principle., Non-violence is the central tenet of their faith.
240. Self contradiction,IRONY,an outcome of events contrary to what was expected.," The IRONY is that when he finally got the job, he discovered that he didn't like it."
240. Self contradiction,PARADOX,a self- contradictory proposition., It is a curious PARADOX that professional comedians often have unhappy personallives.
241. After effect,RAMIFICATION,"a result, esp one that complicates things.", These issues have powerful personal and political RAMIFICATIONs.
241. After effect,REPERCUSSION,an effect or result of an action., The REPERCUSSIONs of the quarrel were widespread.
242. To stir up /revolt,INCITE,to stir up or provoke to action., They were accused of inciting the crowd to riots.
242. To stir up /revolt,INSTIGATE,to stir up or provoke to action., They were accused of instigating racial violence.
242. To stir up /revolt,PROVOKE,to stir up or provoke to action., The announcement PROVOKEd a storm of protest from the general public.
242. To stir up /revolt,SEDITION,incitement or rebellion., Two journalists were charged with SEDITION.
243. Universal,CATHOLIC,universal.," Unlike his father's, Tom's beliefs are CATHOLIC in nature."
243. Universal,GENERIC,applicable or referring to a whole class or group; general., Broadband is a GENERIC term for any high-speed connection to the Internet.
243. Universal,UNIVERSAL,applicable to everything or everyone., Such problems are a UNIVERSAL feature of old age.
244. Variety,DIVERSITY,variety., There is a need for greater DIVERSITY and choice in education.
244. Variety,ECLECTIC,selecting or choosing from various sources., The ECLECTIC collection of furniture did not appeal to them.
244. Variety,MOTLEY,a varied mixture of things., The room was filled with a MOTLEY collection of furniture and paintings.
244. Variety,MULTIFACETED,having many aspects or features., This is a a complex and MULTIFACETED problem.
244. Variety,MULTIFARIOUS,numerous and varied.," The more open and MULTIFARIOUS the city becomes, the more it attracts people whowant it to stay that way."
244. Variety,SUNDRY,various or diverse., On what basis will these SUNDRY expenses be met?
244. Variety,VARIEGATE,make something more diverse or varied., This is a a plant with VARIEGATEd leaves.
244. Variety,VERSATILE,having or capable of many uses., He's a VERSATILE actor who has played a wide variety of roles.
245. Village  like,BUCOLIC,related to rural life, Apple orchards nearby add to the BUCOLIC charm.
245. Village  like,PASTORAL,related to rural life.," In these stories of PASTORAL life, we find an understanding of the daily tasks of villagefolks."
245. Village  like,RUSTIC,related to rural life., This is a typical old cottage full of RUSTIC charm.
246. Puzzling,CONUNDRUM,a confusing question or a problem., Astronomers have proposed two solutions to this CONUNDRUM.
246. Puzzling,CRYPTIC,difficult to understand., I shall be careful in future not to make my remarks so CRYPTIC.
246. Puzzling,ENIGMA,a mysterious thing.," To me, he has always been an ENIGMA - one minute completely insensitive, the nextmoved to tears."
246. Puzzling,GARBLE,make something confusing or difficult to understand.," The sentence is so GARBLEd that you have to sort each word, trying to figure out whateverything means."
246. Puzzling,INSCRUTABLE,impossible to understand.," The killer left no clues, and the murder remains an INSCRUTABLE mystery."
246. Puzzling,INTRIGUE,a fascinating or mysterious quality., The actor's latest movie is full of INTRIGUE.
246. Puzzling,LABYRINTH,a complex or intricate situation.," After the death of her daughter, she wandered in a LABYRINTH of sorrow."
246. Puzzling,MAZE,a complex or confusing situation., Her petition was lost in a MAZE of bureaucratic red tape.
246. Puzzling,RUNIC,mysterious.," RUNIC inscriptions have an air of mystery about them, because they're so hard to read."
247. Rude,BOOR,"a rude, insensitive person."," If you answer the question rudely, you would come across as a BOOR."
247. Rude,BRUSQUE,rude or harsh., The doctor spoke in a BRUSQUE tone.
247. Rude,CURT,rude or harsh., A CURT note of rejection arrived from the company director.
247. Rude,TERSE,rude or harsh.," After failing miserably in the olympics, a TERSE welcome greeted his return."
248. Self- obsessed,EGOCENTRIC,self- centered., Young children are usually EGOCENTRIC.
248. Self- obsessed,EGOTIST,a self- centered person., You need not be an EGOTIST to succeed in politics.
248. Self- obsessed,NARCISSIST,someone intensely concerned with only his or her own self or interests., A NARCISSIST is his own best friend.
248. Self- obsessed,X SELF- DEPRECATORY,belittling or undervaluing oneself., He gave a self-deprecating reaction.
248. Self- obsessed,X SELF- EFFACING,humble or modest.," He was a shy, self-effacing man."
249. Shy,COY,shy., A COY expression on her face.
249. Shy,DIFFIDENCE,shyness.," With habitual DIFFIDENCE, she handed a new manuscript to me."
249. Shy,INTROVERT,a shy or reserved person.," He was described as an INTROVERT, a reserved man who spoke little."
249. Shy,RESERVED,quiet or shy., He was unemotional and RESERVED.
249. Shy,RETIRING,shy," Given Susan's RETIRING personality, no one expected her to take up public speaking."
249. Shy,TIMID,indicating shyness or fear., Deers are naturally TIMID creatures.
249. Shy,TIMOROUS,indicating shyness or fear., She started delivering her speech with a TIMOROUS tone.Unintentionally
249. Shy,INADVERTENTLY,unintentionally., Some carnivores may INADVERTENTLY become trapped while pursuing their preyacross the sticky ground.
249. Shy,UNWITTINGLY,unintentionally.," She had broken the law UNWITTINGLY, but she had still broken it."
250. Uninteresting,NONDESCRIPT,lacking interesting features.," The private detective was a short, NONDESCRIPT fellow."
250. Uninteresting,X CONSPICUOUS,attracting attention., Mary's red hair always made her conspicuous at school.
251. Widespread,CONTAGIOUS,tending to spread.," Pertussis, known commonly as whooping cough, is a highly CONTAGIOUS disease."
251. Widespread,ENDEMIC,confined to a particular place or people., Food shortages and starvation are ENDEMIC in certain parts of the world.
251. Widespread,EPIDEMIC,widespread., Stagnating water will shortly add the peril of EPIDEMIC disease.
251. Widespread,PANDEMIC,occurring throughout the country., A flu PANDEMIC occurred three times in the last century.
251. Widespread,RAMPANT,growing or developing unchecked., Corruption is RAMPANT in the central government.
252. Working under another,SUBORDINATE,a person who is working under the authority of a superior., The General Manager provides advice to SUBORDINATE managers on work and policymatters.
252. Working under another,UNDERLING,a subordinate., He dishes out orders to his UNDERLING.
252. Working under another,UNDERSTUDY,an actor who learns the part of another actor in a play so that they can play that, She worked as an UNDERSTUDY to Meryl Streep.
253. Polish / renovate,BURNISH,to polish., When the floor is dry apply a lubricant and BURNISH when dry.
253. Polish / renovate,REFURBISH,to renovate., Marines celebrate the reopening of a school they helped REFURBISH.
253. Polish / renovate,VARNISH,polish., I'll give the shelves a coat of VARNISH.
254. Serious / confound,BEMUSED,confused., I am BEMUSED - why did he do this ?
